title,price,rating,reviews
"SAMSUNG MU-PG4T0B/WW / T9 Portable, USB 3.2 Gen 2x2, up to 2,000 ...","₹38,999",4.5,64 Ratings & 6 Reviews
"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹44,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹14,999",4.2,"10,694 Ratings & 813 Reviews"
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹44,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹44,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹14,090",4.2,"3,980 Ratings & 275 Reviews"
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹14,060",4.2,"3,980 Ratings & 275 Reviews"
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹44,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹33,999",4.3,"11,733 Ratings & 787 Reviews"
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹13,944",4.2,"2,144 Ratings & 149 Reviews"
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹14,999",4.2,"10,694 Ratings & 813 Reviews"
"SAMSUNG Galaxy S23 5G (Green, 256 GB)","₹49,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,990",4.2,"45,695 Ratings & 2,990 Reviews"
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹33,999",4.3,"11,733 Ratings & 787 Reviews"
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹49,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹49,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)","₹8,999",4,862 Ratings & 33 Reviews
"SAMSUNG Galaxy M14 4G (Arctic Blue, 64 GB)","₹8,998",4,862 Ratings & 33 Reviews
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 256 GB)","₹28,488",4.3,"1,44,757 Ratings & 13,828 Reviews"
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 256 GB)","₹33,999",4.3,539 Ratings & 37 Reviews
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹33,999",4.3,"11,733 Ratings & 787 Reviews"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",4.2,"8,302 Ratings & 708 Reviews"
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)","₹49,999",4.5,"12,488 Ratings & 1,175 Reviews"
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹18,058",4.5,48 Ratings & 3 Reviews
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storag...,"₹2,049",2.8,531 Ratings & 26 Reviews
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹38,999",4.3,"11,733 Ratings & 787 Reviews"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",4.2,"8,302 Ratings & 708 Reviews"
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)","₹27,499",4.3,"6,623 Ratings & 545 Reviews"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹15,999",4.2,"2,766 Ratings & 124 Reviews"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,999",4.2,"8,302 Ratings & 708 Reviews"
Title Not Found,"₹11,990",4.2,"1,19,260 Ratings & 8,477 Reviews"
"SAMSUNG A05 (Light Green, 64 GB)","₹8,499",3.9,207 Ratings & 5 Reviews
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 128 GB)","₹30,999",4.3,539 Ratings & 37 Reviews
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 256 GB)","₹28,487",4.3,"1,44,757 Ratings & 13,828 Reviews"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹13,487",4.2,"24,679 Ratings & 1,542 Reviews"
"SAMSUNG Galaxy A15 5G (Blue Black, 256 GB)","₹22,299",4.2,"1,358 Ratings & 91 Reviews"
Title Not Found,"₹2,199",3.1,"1,538 Ratings & 121 Reviews"
