title,price,rating,reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/512...,"₹1,23,990",3.6,10 Ratings & 0 Reviews
"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹44,999",4.5,"12,615 Ratings & 1,179 Reviews"
"SAMSUNG Galaxy M14 4G (Sapphire Blue, 64 GB)","₹8,999",4,879 Ratings & 33 Reviews
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹33,999",4.3,"11,825 Ratings & 790 Reviews"
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹14,999",4.2,"10,737 Ratings & 814 Reviews"
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹44,999",4.5,"12,615 Ratings & 1,179 Reviews"
SAMSUNG Galaxy Book4 Intel Core 7 150U - (16 GB/512 GB SSD/Window...,"₹79,999",4.6,25 Ratings & 2 Reviews
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹14,999",4.2,"10,737 Ratings & 814 Reviews"
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹44,999",4.5,"12,615 Ratings & 1,179 Reviews"
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (16 GB/512...,"₹1,44,990",4.7,25 Ratings & 2 Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Window...,"₹68,999",4.2,63 Ratings & 7 Reviews
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹13,944",4.2,"2,155 Ratings & 150 Reviews"
"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹18,285",4.2,418 Ratings & 19 Reviews
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹14,048",4.2,"3,994 Ratings & 275 Reviews"
"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹14,090",4.2,"3,994 Ratings & 275 Reviews"
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹33,999",4.3,"11,825 Ratings & 790 Reviews"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹44,999",4.5,"12,615 Ratings & 1,179 Reviews"
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹33,999",4.3,"11,825 Ratings & 790 Reviews"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",4.2,"8,331 Ratings & 709 Reviews"
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹49,999",4.5,"12,615 Ratings & 1,179 Reviews"
"SAMSUNG Galaxy S23 5G (Green, 256 GB)","₹49,999",4.5,"12,615 Ratings & 1,179 Reviews"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹13,487",4.2,"24,698 Ratings & 1,543 Reviews"
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)","₹49,999",4.5,"12,615 Ratings & 1,179 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,990",4.2,"45,723 Ratings & 2,991 Reviews"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹49,999",4.5,"12,615 Ratings & 1,179 Reviews"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 256 GB)","₹28,488",4.3,"1,44,796 Ratings & 13,829 Reviews"
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 256 GB)","₹33,999",4.3,544 Ratings & 37 Reviews
Title Not Found,"₹2,049",2.8,543 Ratings & 26 Reviews
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹17,988",4.5,56 Ratings & 3 Reviews
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹15,999",4.2,"2,782 Ratings & 124 Reviews"
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)","₹27,499",4.3,"6,626 Ratings & 545 Reviews"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",4.2,"8,331 Ratings & 709 Reviews"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499",4.2,"21,203 Ratings & 1,765 Reviews"
